year_month,count
2019-01,68
2019-02,64
2019-03,55
2019-04,157
2019-05,127
2019-06,134
2019-07,105
2019-08,120
2019-09,70
2019-10,144
2019-11,95
2019-12,68
2020-01,63
2020-02,79
2020-03,49
2020-04,23
2020-05,44
2020-06,41
2020-07,79
2020-08,36
2020-09,58
2020-10,41
2020-11,61
2020-12,54
2021-01,64
2021-02,58
2021-03,44
2021-04,90
2021-05,82
2021-06,57
2021-07,71
2021-08,19
2021-09,31
2021-10,57
2021-11,76
2021-12,58
2022-01,48
2022-02,25
2022-03,48
2022-04,140
2022-05,141
2022-06,75
2022-07,89
2022-08,81
2022-09,97
2022-10,97
2022-11,77
2022-12,56
2023-01,67
2023-02,74
2023-03,80
2023-04,124
2023-05,108
2023-06,61
2023-07,83
2023-08,164
2023-09,315
2023-10,104
2023-11,107
2023-12,83
2024-01,54
2024-02,80
2024-03,77
2024-04,177
2024-05,140
2024-06,130
2024-07,123
2024-08,46
2024-09,66
2024-10,94
2024-11,144
2024-12,95
2025-01,60
2025-02,114
2025-03,264
2025-04,271
2025-05,220
2025-06,160
2025-07,233
2025-08,64
2025-09,105
2025-10,91
2025-11,155
2025-12,108
